tract_fips,population,lat,lon,California County,nearest_station_km,access_all_5km,access_nevi_5km,gini_all_5km,gini_nevi_5km,access_all_5km_pct,access_nevi_5km_pct
6037120020,3872,34.2188235,-118.4548516,Los Angeles,0.326575341,0.003639512,1.30E-05,0.998590936,0.999997162,0.765258216,0.715962441
6037120030,2666,34.2152447,-118.451843,Los Angeles,0.248432369,0.001816935,1.30E-05,0.998590936,0.999997162,0.502347418,0.715962441
6037120103,3452,34.2297196,-118.4517984,Los Angeles,0.246970885,0.00133779,0,0.998590936,0.999997162,0.368544601,0.328638498
6037120104,2228,34.223963,-118.4493666,Los Angeles,0.364770087,0.002372035,1.30E-05,0.998590936,0.999997162,0.599765258,0.715962441
6037120105,2832,34.2340798,-118.4488025,Los Angeles,0.280199322,0.00256549,1.30E-05,0.998590936,0.999997162,0.633802817,0.715962441
6037120106,4763,34.223102,-118.4563804,Los Angeles,0.520138395,0.001765248,0,0.998590936,0.999997162,0.490610329,0.328638498
6037120107,3893,34.226419,-118.4563804,Los Angeles,0.18549052,0.002220673,0,0.998590936,0.999997162,0.57629108,0.328638498
6037120108,4732,34.2300529,-118.4563783,Los Angeles,0.222993473,0.006036273,1.30E-05,0.998590936,0.999997162,0.888497653,0.715962441
6037120300,5238,34.2152914,-118.4408399,Los Angeles,0.800336273,0.00575972,1.30E-05,0.998590936,0.999997162,0.875586854,0.715962441
6037120400,6769,34.2188821,-118.4323396,Los Angeles,0.210199433,0.005883579,1.30E-05,0.998590936,0.999997162,0.882629108,0.715962441
6037121010,4934,34.223913,-118.403944,Los Angeles,1.28576134,0.005789543,1.30E-05,0.998590936,0.999997162,0.877934272,0.715962441
6037121020,3610,34.2121219,-118.4020625,Los Angeles,1.111302849,0.005847588,1.30E-05,0.998590936,0.999997162,0.881455399,0.715962441
6037121101,2862,34.224417,-118.3654295,Los Angeles,0.32624122,0.005710578,1.30E-05,0.998590936,0.999997162,0.873239437,0.715962441
6037121102,2479,34.2375326,-118.3841883,Los Angeles,0.734097339,0.005680233,1.30E-05,0.998590936,0.999997162,0.872065728,0.715962441
6037121210,2926,34.2402959,-118.4039928,Los Angeles,1.145174401,0.005193586,0,0.998590936,0.999997162,0.841549296,0.328638498
6037121221,2420,34.2276073,-118.3955564,Los Angeles,0.59650157,0.005373348,1.30E-05,0.998590936,0.999997162,0.857981221,0.715962441
6037121222,5139,34.2321411,-118.3919494,Los Angeles,0.316322843,0.005371341,0,0.998590936,0.999997162,0.855633803,0.328638498
6037121600,2735,34.211069,-118.4105915,Los Angeles,0.667065909,0.005963412,0,0.998590936,0.999997162,0.886150235,0.328638498
6037121801,3127,34.2114871,-118.3928771,Los Angeles,0.403529331,0.005407273,0,0.998590936,0.999997162,0.85915493,0.328638498
